Stop_id,Stop_Name
1907,FACCIOLI
1908,FACCIOLI
1909,PLANTERI
191,LIVORNO
1910,PLANTERI
1911,REGINA MARGHERITA
1913,VESPUCCI
1914,SOMMEILLER
1915,STATI UNITI
1916,STATI UNITI
1917,ANTICA DI COLLEGNO OVEST
1918,ISONZO
1919,MILANO
192,LIVORNO
1920,TORINO
1922,TORINO
1924,POSTUMIA
1925,RADICH
1926,RADICH
1927,BARD
1928,BARD
193,INDUSTRIA
1930,MEDICI
1932,CARSO
1933,CARAGLIO
1934,ENTRACQUE
1935,CENTRO COMMERCIALE
1936,CENTRO COMMERCIALE
1937,CENTRO COMMERCIALE NORD
1938,CENTRO COMMERCIALE NORD
1939,BRACCINI
194,INDUSTRIA
1940,SPALATO
1941,MODANE
1942,RIVALTA
1943,MARMOLADA
1944,MARMOLADA
1945,CARLO ALBERTO
1946,CARLO ALBERTO
1947,UMBRIA
1948,MADAMA CRISTINA
1949,D'AZEGLIO
195,RONDÒ FORCA OVEST
1950,MONCALIERI
1951,MONCALIERI
1952,CRIMEA
1953,CRIMEA
1954,ADUA CAP
1955,GROSSETO EST
1956,MUSSO FERRARIS
1958,CENNI
1959,CENNI
196,RONDÒ FORCA OVEST
1960,ANTICA DI GRUGLIASCO
1961,ANTICA DI GRUGLIASCO
1962,CIMITERO GRUGLIASCO
1963,CIMITERO GRUGLIASCO
1964,LEONARDO DA VINCI
1965,LEONARDO DA VINCI
1966,LAMARMORA
1967,LAMARMORA
1968,MORGARI
1969,MORGARI
197,OSPEDALE COTTOLENGO
1970,GARIBALDI
1971,GOITO
1972,PAPA GIOVANNI XXIII
1973,ROMA
1974,ROMA
1975,PUGLIA N.35
1976,FRANZOJ
1977,BERRUTI
1978,CASCINETTE
1979,SOSTEGNO
198,OSPEDALE COTTOLENGO
1980,COSSA
1981,COSSA
1982,SERVAIS CAP
1983,CASALEGGIO
1984,CASALEGGIO
1985,COSSA OVEST
1986,COSSA OVEST
1987,BELLARDI
1988,BELLARDI
1989,BIANCHI
199,PORTA PALAZZO
1990,BIANCHI EST
1991,TELESIO
1992,RE
1993,RE
1994,CAPELLI
1995,MONTE GRAPPA
1996,MONTE GRAPPA
1997,BORGOSESIA
1998,BORGOSESIA
1999,LECCE
20,ALPIGNANO
200,PORTA PALAZZO SUD
2000,LECCE
2001,SVIZZERA
2002,REGIO PARCO EST
2003,MATTEOTTI
2004,GIOLITTI
2005,ROSSA
2006,DONATI
2007,GALILEO FERRARIS
2008,GALILEO FERRARIS
2009,RE UMBERTO
201,PORTA PALAZZO EST
2010,ARSENALE
2011,MORO
2012,CAPELLI
2013,DONATI
2015,BORROMINI
2016,BORROMINI
2017,GIOANETTI
2018,GIOANETTI
2019,SOMMACAMPAGNA
202,PORTA PALAZZO OVEST
2020,SOMMACAMPAGNA
2021,CALVINO NORD
2022,CURRENO
2023,MILAZZO
2024,MILAZZO
2025,FEBO
2026,FEBO
2027,SICILIA
2028,SICILIA
2029,AQUILEIA
203,XI FEBBRAIO
2030,AQUILEIA
2032,FAILLA CAP
2033,MARCO POLO
2034,MARCO POLO
2035,PALESTRO
2036,PALESTRO
2037,DEL CASTELLO
2038,DEL CASTELLO
2039,CIMITERO MONCALIERI
204,XI FEBBRAIO
2040,CIMITERO MONCALIERI
2041,RIGOLINO
2042,RIGOLINO
2043,SCALERO
2044,SCALERO
2045,FIOCCARDO
2046,FIOCCARDO
2047,MONCALIERI N.371
2048,MONCALIERI N.440
2049,SANTA LUCIA
205,GIARDINI REALI
2050,SANTA LUCIA
2051,VILLA ZANETTI
2052,VILLA ZANETTI
2053,MONCALIERI N.315
2054,MONCALIERI N.310
2055,ALBERONI
2056,ALBERONI
2057,MOLINETTE EST
2058,MOLINETTE EST
2059,DANTE
206,GIARDINI REALI
2060,DANTE
2061,STAMPALIA
2062,TORINO ESPOSIZIONI
2064,ORMEA
2065,VELASCO
2066,SAN DOMENICO
2067,MORANDI
2068,MACHIAVELLI N.101
2069,SOLFERINO CAP
207,ROSSINI
2071,RACAGNI
2072,CIMITERO MONUMENTALE
2073,NOVARA NORD
2074,CIMITERO MONUMENTALE OVEST
2075,PINDEMONTE
2076,CIMITERO MONUMENTALE NORD
2077,MACHIAVELLI CAP
2078,INPS
2079,CARCANO
20793,SAN MAURO (SAMBUY)
